x,y,z
8.0343895,1.2262499,4.38507
8.41698,3.79647,3.61989
13.3219795,-0.07848,0.32373
6.16068,-2.3053498,0.55917
4.47336,4.82652,5.34645
14.508989,0.53955,-8.18154
9.37836,3.94362,-8.1423
6.6904197,-3.7572298,-10.05525
11.55618,5.0913897,-5.15025
0.2943,-1.2262499,-2.16801
16.15707,-0.8829,0.70632
13.09635,-0.42183,-3.8945699
7.6910396,2.67813,0.17658
10.369169,2.49174,-0.98099995
7.5340796,1.64808,-1.08891
7.76952,4.2869697,-0.94175994
12.2134495,2.8743298,-0.17658
9.14292,3.63951,1.01043
6.7689,2.4524999,-0.0981
9.6432295,3.0999599,-0.32373
6.3863096,-0.34335,-1.20663
7.38693,2.71737,-0.59841
11.63466,2.59965,-0.55917
9.83943,4.36545,1.7069399
6.9651,2.67813,-0.0981
9.6432295,2.4524999,-1.5892199
10.22202,4.7088,-1.20663
7.87743,2.49174,-0.21582
8.260019,3.7572298,-0.63764995
12.78243,3.63951,2.65851
7.6517997,2.2170599,-0.40221
9.6432295,3.5217898,-0.94175994
11.36979,4.6008897,-0.13734
6.7689,2.67813,0.24524999
9.221399,4.32621,0.13734
12.900149,2.4524999,1.08891
6.8473797,1.60884,-0.48068997
13.822289,5.5524597,-0.7848
4.65975,0.53955,-1.12815
8.49546,2.41326,-3.31578
12.78243,2.83509,1.93257
6.5040298,1.34397,-0.21582
8.79957,3.0214798,-0.94175994
9.221399,3.9043798,-1.40283
7.6517997,4.4439297,0.058859996
11.17359,3.29616,0.058859996
7.5340796,1.1870099,0.48068997
7.5340796,3.7572298,0.20601
18.805769,2.03067,-1.89333
4.5126,0.56898,-0.94175994
10.90872,4.86576,-2.0502899
3.20787,-1.1477699,3.05091
8.6818495,2.63889,2.16801
8.76033,2.49174,0.17658
10.6046095,-2.41326,1.4714999
4.7774696,0.38259,-0.058859996
8.721089,3.5217898,-1.36359
10.143539,3.40407,-0.24524999
6.9651,3.0999599,-1.5107399
13.9694395,4.6008897,-0.82404
4.35564,-0.72594,-1.7069399
7.0337696,3.5217898,-2.2072499
11.8701,6.93567,2.97243
6.0429597,0.03924,0.32373
9.10368,3.94362,-1.16739
10.6046095,3.5217898,-2.01105
5.1993,4.13982,0.86328
14.85234,2.75661,-0.98099995
6.5040298,0.95157,-0.59841
6.9651,3.5217898,0.17658
15.08778,4.6008897,-2.01105
3.55122,0.76518,0.32373
9.94734,2.59965,-3.15882
12.01725,3.1784399,1.5892199
5.80752,1.7952299,-0.36297
8.64261,4.24773,-0.94175994
9.80019,2.9528098,-1.82466
6.65118,3.06072,-0.0981
11.21283,2.83509,-0.24524999
7.8381896,1.0300499,-0.82404
6.1901097,2.57022,-0.48068997
15.5782795,7.4752197,-1.04967
4.54203,1.1870099,0.28449
8.49546,2.63889,-1.4714999
13.62609,4.06134,0.94175994
6.2293496,1.7952299,-0.51993
9.221399,3.1392,-1.7461799
9.14292,2.2955399,-1.40283
6.3470697,4.4439297,-0.44145
16.84377,2.03067,0.51993
5.7388496,2.06991,0.86328
7.4556,4.40469,-0.40221
16.07859,-2.26611,-5.0815797
2.48193,2.67813,1.78542
14.58747,1.72656,0.70632
8.0343895,0.76518,0.94175994
10.56537,1.41264,-0.21582
18.18774,0.03924,-0.0981
4.3164,0.60822,2.01105
10.9872,9.535319,-2.8547099
9.80019,1.68732,-1.44207
10.40841,2.4524999,0.0981
14.70519,2.57022,1.89333
6.7689,2.71737,-1.8639
10.40841,6.2097297,-2.6977499
1.32435,0.30411,6.45498
7.57332,2.41326,-0.7848
5.50341,1.53036,0.74556
16.35327,5.02272,-1.7461799
3.24711,0.80442,0.13734
14.58747,1.3047299,-2.08953
5.96448,0.80442,-1.12815
6.7689,5.16987,0.36297
12.47832,4.9049997,0.0981
4.69899,1.2654899,0.51993
10.40841,2.3740199,-0.94175994
12.47832,4.78728,0.40221
5.6996098,2.03067,-1.16739
12.82167,4.52241,-0.86328
6.88662,0.38259,-0.55917
7.6517997,5.20911,-0.82404
16.696619,1.68732,0.44145
6.46479,2.71737,0.17658
9.14292,3.8258998,-1.44207
12.97863,7.08282,-1.24587
5.8859997,2.91357,0.62784
10.182779,3.56103,-2.1287699
12.291929,5.8958097,2.43288
6.6904197,1.53036,-0.86328
9.0252,5.4053097,-0.24524999
11.02644,5.44455,-0.66708
5.04234,2.06991,-0.17658
15.12702,2.33478,-1.4714999
7.38693,1.34397,-0.24524999
6.00372,1.5696,0.058859996
15.195689,6.2784,-0.86328
4.47336,0.07848,-0.17658
8.76033,2.91357,-3.1980598
13.62609,3.37464,0.98099995
6.30783,2.2563,-1.28511
13.51818,5.28759,0.01962
5.84676,1.1870099,-0.17658
6.80814,3.48255,-1.8639
16.11783,1.9129499,0.90252
10.22202,1.0300499,-2.0502899
8.83881,3.0999599,1.16739
17.38332,-0.72594,0.55917
5.5426497,2.63889,-0.74556
6.00372,2.06991,0.70632
16.961489,-0.30411,-3.11958
6.92586,2.03067,0.40221
5.34645,2.03067,-0.98099995
18.57033,6.31764,-0.17658
3.24711,-1.2262499,-0.63764995
10.48689,1.64808,-1.32435
10.25145,4.48317,-0.01962
5.96448,2.79585,0.20601
16.3827,2.10915,-1.7069399
4.3164,0.8829,-0.66708
8.41698,0.80442,-1.24587
11.17359,3.63951,1.4322599
5.46417,4.13982,-0.66708
6.9651,-1.34397,-2.7762299
9.14292,0,-2.47212
6.8473797,1.41264,-0.59841
13.70457,0.92214,-0.40221
5.7388496,-0.61803,-2.3544
8.3385,1.7658,-3.05091
10.182779,1.72656,-1.12815
4.5812697,1.34397,-1.5499799
17.11845,-2.3740199,-1.7461799
7.73028,1.2654899,-1.02024
7.57332,1.1477699,-1.5499799
13.2435,1.2262499,-1.32435
4.62051,-0.8829,0.40221
9.6432295,0.11771999,-1.08891
13.62609,2.14839,2.89395
5.84676,0.22563,-1.04967
10.48689,-0.69650996,-1.24587
8.220779,-3.5316,-1.36359
5.50341,0.72594,-0.59841
16.696619,-3.7572298,-1.28511
9.682469,-1.1870099,0.44145
9.44703,-2.3053498,-8.907479
13.9694395,-6.8277597,10.13373
7.26921,1.41264,4.96386
1.1772,2.4524999,9.329309
0.71612996,3.79647,9.40779
0.83384997,2.9528098,8.10306
