x,y,z,time
-4.6008897,-8.08344,3.31578,1.43032E+12
-3.8357098,-6.58251,3.61989,1.43032E+12
-3.45312,-9.035009,3.08034,1.43032E+12
-4.29678,-7.88724,2.43288,1.43032E+12
-3.5316,-6.0822,3.08034,1.43032E+12
-8.66223,-10.37898,5.0717697,1.43032E+12
-0.84366,-0.87308997,2.73699,1.43032E+12
-5.14044,-6.0822,-0.63764995,1.43032E+12
-2.41326,-4.36545,2.5505998,1.43032E+12
-1.8835199,-14.05773,6.0723896,1.43032E+12
-2.91357,0.3924,3.1980598,1.43032E+12
-5.9841,-13.861529,3.77685,1.43032E+12
-0.96137995,-5.31702,4.19868,1.43032E+12
-5.4053097,-17.11845,5.0031,1.43032E+12
-2.68794,-1.7952299,3.54141,1.43032E+12
-3.61008,-14.94063,2.39364,1.43032E+12
-2.57022,-6.46479,2.31516,1.43032E+12
-3.9141898,-16.775099,5.6898,1.43032E+12
-1.7658,-2.2563,3.6591299,1.43032E+12
-3.07053,-15.66657,1.16739,1.43032E+12
-3.7572298,-7.92648,2.19744,1.43032E+12
-7.8185697,-7.2005396,2.7762299,1.43032E+12
-0.69650996,-5.16987,1.3930199,1.43032E+12
-3.87495,-9.6138,4.00248,1.43032E+12
-4.06134,-8.42679,-2.0502899,1.43032E+12
-1.80504,-3.94362,4.30659,1.43032E+12
-1.68732,-19.34532,5.91543,1.43032E+12
1.3734,-2.33478,2.1287699,1.43032E+12
-3.87495,-10.643849,4.1201997,1.43032E+12
-2.91357,-9.07425,0.48068997,1.43032E+12
-15.715619,-7.6910396,2.81547,1.43032E+12
-1.64808,-1.55979,-1.28511,1.43032E+12
-2.3838298,-18.07983,5.2287297,1.43032E+12
-3.5316,-12.02706,3.15882,1.43032E+12
-5.4053097,-7.12206,0.7848,1.43032E+12
-4.48317,-10.11411,-0.28449,1.43032E+12
-7.1711097,-13.214069,-1.08891,1.43032E+12
-0.11771999,-1.49112,1.78542,1.43032E+12
1.3734,-8.69166,4.00248,1.43032E+12
-3.1882498,-11.1834,0.48068997,1.43032E+12
-3.14901,-4.9344296,3.54141,1.43032E+12
-6.63156,-9.9571495,4.96386,1.43032E+12
-0.11771999,-0.33354,0.90252,1.43032E+12
0.72594,-12.87072,1.12815,1.43032E+12
-5.1011996,-6.81795,1.4322599,1.43032E+12
-4.48317,-4.5910797,1.36359,1.43032E+12
-4.13982,-15.44094,2.73699,1.43032E+12
-2.5309799,-2.09934,3.2373,1.43032E+12
-8.35812,-17.23617,4.46355,1.43032E+12
-1.42245,-6.6609898,2.58984,1.43032E+12
-5.8663797,-8.65242,3.11958,1.43032E+12
-1.64808,-6.0822,2.0502899,1.43032E+12
-1.8835199,-10.76157,5.11101,1.43032E+12
-4.9049997,-9.27045,1.3930199,1.43032E+12
-4.86576,-4.9344296,1.16739,1.43032E+12
-2.99205,-15.362459,4.2673497,1.43032E+12
-2.99205,-2.48193,5.15025,1.43032E+12
-10.57518,-16.16688,5.11101,1.43032E+12
-5.82714,-9.76095,1.97181,1.43032E+12
-8.27964,-12.40965,7.22016,1.43032E+12
-0.27468,-5.5917,1.5107399,1.43032E+12
-1.64808,-6.3568797,2.47212,1.43032E+12
-2.83509,-6.7002296,-1.7461799,1.43032E+12
-1.3047299,-5.51322,2.23668,1.43032E+12
-4.4439297,-13.675139,5.3856897,1.43032E+12
1.0692899,1.11834,-0.36297,1.43032E+12
0.64746,-11.40903,-5.30721,1.43032E+12
-6.6707997,-4.01229,1.93257,1.43032E+12
5.7879,-17.50104,1.5892199,1.43032E+12
-1.2262499,-0.83384997,0.20601,1.43032E+12
3.36483,-10.643849,7.60275,1.43032E+12
-3.57084,-9.80019,-0.40221,1.43032E+12
-3.5316,-8.573939,3.4236898,1.43032E+12
-8.31888,-8.77014,7.7989497,1.43032E+12
0.46107,-18.76653,8.06382,1.43032E+12
-1.03986,-1.1085299,2.39364,1.43032E+12
2.8743298,-15.048539,3.39426,1.43032E+12
-4.06134,-9.19197,5.76828,1.43032E+12
-3.87495,-14.05773,4.38507,1.43032E+12
-2.8743298,-3.9043798,6.2293496,1.43032E+12
-6.63156,-13.37103,3.69837,1.43032E+12
-1.03986,-4.85595,3.61989,1.43032E+12
4.40469,-8.80938,3.46293,1.43032E+12
-4.2575397,-5.77809,5.15025,1.43032E+12
-3.63951,-5.2385397,-1.7461799,1.43032E+12
-4.4144998,-6.5040298,3.8160899,1.43032E+12
0.22563,-2.71737,1.4714999,1.43032E+12
3.9043798,-6.3961196,0.51993,1.43032E+12
-3.21768,-10.56537,4.23792,1.43032E+12
-5.0619597,-13.47894,4.50279,1.43032E+12
0.14715,-4.16925,0.97119,1.43032E+12
4.24773,-6.31764,0.62784,1.43032E+12
-4.9049997,-12.105539,1.4714999,1.43032E+12
-2.76642,-5.3954997,1.20663,1.43032E+12
0.22563,-15.16626,3.88476,1.43032E+12
1.0692899,-2.17782,2.19744,1.43032E+12
-4.4144998,-14.70519,3.5806499,1.43032E+12
-2.06991,-7.6616096,2.1287699,1.43032E+12
0.76518,-6.3961196,3.31578,1.43032E+12
-2.2268698,-14.862149,4.72842,1.43032E+12
-5.32683,-3.56103,9.48627,1.43032E+12
2.4524999,-4.4341197,0.058859996,1.43032E+12
-4.71861,-10.53594,-1.6676999,1.43032E+12
-5.7094197,-8.26983,2.73699,1.43032E+12
-1.2654899,-13.59666,1.20663,1.43032E+12
-0.50031,-8.11287,-0.0981,1.43032E+12
-3.0312898,-4.40469,2.9331899,1.43032E+12
-1.0791,-6.7002296,-1.6676999,1.43032E+12
-3.8357098,-5.97429,1.85409,1.43032E+12
-1.60884,-10.22202,6.11163,1.43032E+12
1.3734,-5.5524597,1.93257,1.43032E+12
-3.37464,-17.47161,4.4243097,1.43032E+12
0.60822,-5.2385397,5.5720797,1.43032E+12
2.03067,-13.51818,5.53284,1.43032E+12
-2.91357,-1.33416,4.08096,1.43032E+12
-4.64013,-17.19693,6.26859,1.43032E+12
0.38259,-7.23978,5.3856897,1.43032E+12
-3.14901,-10.80081,3.96324,1.43032E+12
-2.3053498,-2.8645198,2.97243,1.43032E+12
-4.37526,-17.697239,7.8381896,1.43032E+12
0.95157,-5.27778,3.6591299,1.43032E+12
-3.9926698,-13.51818,7.4948397,1.43032E+12
-1.8835199,-1.6382699,1.89333,1.43032E+12
-3.63951,-16.814339,4.30659,1.43032E+12
0.6867,-6.31764,4.15944,1.43032E+12
-5.67018,-13.439699,8.32869,1.43032E+12
0.6867,-6.12144,0.24524999,1.43032E+12
1.7167499,-8.69166,6.1901097,1.43032E+12
-2.99205,-10.87929,-1.6284599,1.43032E+12
1.41264,-2.48193,2.3544,1.43032E+12
2.75661,-15.931439,5.65056,1.43032E+12
0.8829,-1.98162,0.66708,1.43032E+12
2.56041,-8.80938,2.16801,1.43032E+12
-4.71861,-6.01353,-2.16801,1.43032E+12
2.2170599,-11.26188,4.84614,1.43032E+12
0.95157,-5.51322,-0.51993,1.43032E+12
-2.79585,-9.19197,9.44703,1.43032E+12
-0.03924,-7.0435796,-5.30721,1.43032E+12
-4.0221,-9.19197,-0.28449,1.43032E+12
-4.13982,-9.69228,2.43288,1.43032E+12
-3.9141898,-11.48751,0.90252,1.43032E+12
0.49049997,-2.02086,3.31578,1.43032E+12
3.29616,-10.643849,4.54203,1.43032E+12
-3.29616,-10.143539,1.28511,1.43032E+12
-5.48379,-5.85657,2.39364,1.43032E+12
0.6867,-5.77809,1.4714999,1.43032E+12
-0.53955,-11.44827,6.2293496,1.43032E+12
-3.8357098,-11.605229,-2.31516,1.43032E+12
-3.1882498,-4.2869697,4.88538,1.43032E+12
-4.0221,-17.50104,6.6904197,1.43032E+12
0.46107,-3.1392,0.55917,1.43032E+12
4.56165,-8.61318,0.82404,1.43032E+12
-0.61803,-5.16987,3.3550198,1.43032E+12
2.49174,-13.97925,5.0717697,1.43032E+12
-2.10915,-2.48193,1.5107399,1.43032E+12
-1.46169,-15.323219,-0.98099995,1.43032E+12
-3.71799,-9.72171,0.24524999,1.43032E+12
-6.5138397,-7.8087597,4.04172,1.43032E+12
1.1870099,-7.8087597,3.5021698,1.43032E+12
-2.3838298,-8.3483095,2.81547,1.43032E+12
-1.84428,-15.66657,2.27592,1.43032E+12
0.34335,-5.97429,4.08096,1.43032E+12
-5.0619597,-10.94796,5.5720797,1.43032E+12
1.7952299,-7.12206,1.28511,1.43032E+12
1.53036,-10.94796,6.8375697,1.43032E+12
-2.83509,-11.06568,0.86328,1.43032E+12
-0.42183,-4.85595,3.11958,1.43032E+12
-2.99205,-9.91791,5.84676,1.43032E+12
0.52974,-7.0435796,1.08891,1.43032E+12
3.9043798,-16.43175,9.21159,1.43032E+12
-1.15758,-12.63528,-5.34645,1.43032E+12
-3.9926698,-4.32621,2.47212,1.43032E+12
-1.9914299,-13.13559,4.23792,1.43032E+12
0.34335,-3.36483,3.7376099,1.43032E+12
2.49174,-3.06072,-1.48131,1.43032E+12
-3.6787498,-8.91729,0.94175994,1.43032E+12
-2.6094599,-7.92648,3.0411,1.43032E+12
-0.31392,-11.06568,0.36297,1.43032E+12
-0.31392,-3.0214798,1.16739,1.43032E+12
2.2170599,-8.61318,6.0331497,1.43032E+12
-3.21768,-7.6616096,-1.6676999,1.43032E+12
-0.76518,-3.8258998,1.24587,1.43032E+12
1.33416,-18.11907,4.4243097,1.43032E+12
0.76518,-1.3734,0.90252,1.43032E+12
-3.71799,-17.8542,5.3856897,1.43032E+12
-0.65726995,-5.35626,2.9331899,1.43032E+12
-0.23543999,-1.8344699,2.31516,1.43032E+12
0.26487,-4.05153,0.5886,1.43032E+12
1.0300499,-6.2784,2.39364,1.43032E+12
-2.3838298,-10.143539,1.7461799,1.43032E+12
-3.5316,-7.0043397,4.00248,1.43032E+12
0.49049997,-7.2005396,1.78542,1.43032E+12
-1.2262499,-9.535319,4.50279,1.43032E+12
-2.79585,-13.33179,-0.86328,1.43032E+12
-1.03986,-4.47336,4.5812697,1.43032E+12
-1.64808,-16.775099,7.41636,1.43032E+12
0.38259,-1.9521899,1.5499799,1.43032E+12
4.0221,-8.534699,1.3930199,1.43032E+12
-2.83509,-11.94858,1.08891,1.43032E+12
-0.57879,-2.40345,2.43288,1.43032E+12
0.56898,-15.2055,6.8768096,1.43032E+12
0.42183,-0.72594,0.86328,1.43032E+12
2.3740199,-13.37103,-1.6284599,1.43032E+12
-1.15758,-11.605229,2.08953,1.43032E+12
-3.4138799,-6.8571897,2.89395,1.43032E+12
-1.64808,-12.566609,6.0723896,1.43032E+12
1.5696,-9.27045,1.78542,1.43032E+12
0.8829,-13.47894,-0.51993,1.43032E+12
-1.34397,-6.62175,3.88476,1.43032E+12
2.3740199,-13.59666,4.23792,1.43032E+12
-2.83509,-7.12206,1.7069399,1.43032E+12
-0.27468,-9.65304,2.16801,1.43032E+12
-0.57879,-11.30112,0.36297,1.43032E+12
-2.14839,-9.15273,2.58984,1.43032E+12
-3.29616,-8.534699,3.5021698,1.43032E+12
-2.41326,-7.92648,1.6284599,1.43032E+12
-3.45312,-8.887859,0.82404,1.43032E+12
-3.61008,-9.15273,0.82404,1.43032E+12
