x,y,z,time
-4.4144998,-8.554319,-0.13734,1.43032E+12
-4.94424,-8.06382,0.86328,1.43032E+12
-5.60151,-9.29007,1.4714999,1.43032E+12
-5.02272,-11.24226,2.51136,1.43032E+12
0.56898,-3.3452098,3.4236898,1.43032E+12
0.80442,-4.03191,4.8069,1.43032E+12
0.76518,-4.64994,6.0331497,1.43032E+12
-0.07848,-6.7198496,8.64261,1.43032E+12
-0.84366,-8.13249,9.29007,1.43032E+12
-1.15758,-9.89829,8.907479,1.43032E+12
-1.5696,-11.92896,7.7989497,1.43032E+12
-3.0312898,-15.68619,5.26797,1.43032E+12
-2.79585,-16.068779,6.0723896,1.43032E+12
-2.5309799,-14.68557,7.8381896,1.43032E+12
-1.9914299,-12.39003,8.94672,1.43032E+12
-2.3838298,-9.81981,9.29007,1.43032E+12
-1.72656,-6.48441,7.9853396,1.43032E+12
-1.1870099,-6.60213,6.8768096,1.43032E+12
-1.64808,-8.093249,6.33726,1.43032E+12
-2.57022,-10.24164,5.76828,1.43032E+12
-5.5622697,-14.07735,6.5334597,1.43032E+12
-7.89705,-14.881769,6.45498,1.43032E+12
-9.54513,-15.068159,5.0717697,1.43032E+12
-7.39674,-14.803289,-2.28573,1.43032E+12
-0.65726995,-10.89891,-5.65056,1.43032E+12
4.32621,-8.89767,-6.7689,1.43032E+12
7.1612997,-6.79833,-1.28511,1.43032E+12
8.12268,-5.33664,9.79038,1.43032E+12
4.24773,-4.38507,9.40779,1.43032E+12
-2.10915,-3.96324,0.51993,1.43032E+12
-5.82714,-5.91543,-7.41636,1.43032E+12
-9.201779,-8.25021,-10.40841,1.43032E+12
-12.76281,-11.85048,-6.5334597,1.43032E+12
-11.65428,-12.89034,-2.51136,1.43032E+12
-9.1625395,-13.733999,0.66708,1.43032E+12
-7.6714196,-13.49856,2.7762299,1.43032E+12
-5.7094197,-11.32074,4.15944,1.43032E+12
-3.2569199,-9.74133,3.6591299,1.43032E+12
-1.2654899,-9.702089,3.3550198,1.43032E+12
0.46107,-10.516319,3.6591299,1.43032E+12
2.17782,-11.9682,0.36297,1.43032E+12
0.06867,-11.70333,0.24524999,1.43032E+12
-2.4524999,-11.92896,1.12815,1.43032E+12
-3.87495,-12.35079,1.20663,1.43032E+12
-8.58375,-12.96882,0.32373,1.43032E+12
-9.849239,-11.771999,-1.40283,1.43032E+12
-8.96634,-11.664089,0.5886,1.43032E+12
