x,y,z
3.9730499,2.33478,10.977389
4.23792,2.63889,6.45498
4.1201997,-11.732759,-0.32373
19.41399,4.32621,-2.89395
8.6818495,-1.8835199,2.3544
9.76095,-1.42245,-1.89333
6.65118,-5.9056196,4.9246197
9.10368,-1.5696,2.01105
9.33912,-4.52241,3.9239998
8.15211,-4.82652,4.1201997
8.41698,-1.80504,3.5021698
7.0337696,-10.38879,7.6812296
7.11225,2.75661,4.7676597
12.01725,-3.45312,-5.5720797
1.90314,-1.84428,-9.06444
4.47336,5.82714,-9.40779
11.6739,-2.99205,-8.721089
14.74443,-7.05339,5.7290397
1.55979,1.7658,1.24587
17.07921,2.9528098,4.8069
1.6382699,-2.03067,-6.65118
20.179169,8.240399,-5.65056
-0.81422997,0.38259,-0.058859996
7.9559097,1.53036,5.15025
0.44145,-1.72656,-9.9081
20.179169,5.44455,-4.62051
-1.4322599,0.26487,0.13734
9.83943,2.33478,9.79038
-0.12753,-2.10915,-5.65056
19.992779,0.53955,-1.16739
-1.4714999,0.53955,-0.13734
6.0822,-0.46107,0.98099995
1.44207,-3.21768,-2.2072499
18.992159,4.82652,-7.4556
-0.70632,0.22563,-0.17658
5.80752,-0.57879,0.59841
1.7069399,-2.06991,-2.27592
17.15769,2.2563,-5.7290397
0.37278,1.2654899,0.7848
8.3385,0.11771999,1.6284599
2.16801,-5.60151,-11.13435
20.139929,5.7094197,-7.7989497
-0.97119,0.53955,0.17658
7.7989497,0.76518,4.08096
11.44827,-10.19259,6.33726
13.2435,1.53036,-3.69837
1.28511,-1.50093,3.31578
2.40345,-1.50093,2.51136
4.54203,-7.77933,4.68918
19.57095,2.5309799,-3.85533
4.81671,-2.3740199,4.1201997
1.05948,-0.53955,3.8160899
6.61194,-10.310309,1.93257
10.71252,3.37464,-0.98099995
4.54203,-2.57022,5.4249296
-3.96324,-2.33478,2.7762299
19.87506,-13.066919,9.9081
-1.3145399,0.72594,0.74556
15.509609,-8.81919,5.53284
-3.00186,-1.80504,3.2373
18.76653,-9.54513,7.0337696
-1.5499799,0.95157,0.82404
14.43051,-7.27902,7.6419897
-3.00186,-1.1477699,3.05091
8.15211,2.67813,-0.70632
7.57332,-5.14044,-1.20663
-1.97181,0.11771999,2.43288
11.06568,-11.65428,5.04234
9.182159,1.7658,-1.5107399
6.3470697,-5.36607,3.1980598
-3.6591299,-1.84428,1.89333
20.179169,-6.17049,8.64261
-1.5107399,1.0300499,0.7848
12.51756,-4.86576,10.016009
-3.2667298,-2.83509,0.01962
19.49247,-5.67018,6.1901097
-1.04967,0.64746,1.5892199
10.44765,-0.8829,11.3992195
-2.04048,-4.48317,0.44145
18.64881,-7.13187,2.58984
-1.5499799,1.0300499,0.20601
5.34645,-1.50093,-0.17658
3.8945699,-5.02272,-2.31516
18.91368,4.17906,-3.5806499
0.13734,0.14715,3.0116699
9.9081,-1.0791,-0.44145
2.02086,-0.46107,-0.40221
16.23555,-0.27468,0.24524999
1.13796,0.07848,1.6284599
14.508989,-1.3047299,3.6591299
1.13796,0.92214,-0.058859996
12.17421,-5.7486596,4.68918
2.97243,0.72594,-0.90252
17.54028,-0.23543999,2.08953
-1.61865,1.8344699,1.24587
13.9302,-5.14044,6.41574
-0.93195,0.95157,0.32373
13.9302,-5.36607,9.21159
-3.6591299,-1.1085299,0.20601
18.22698,-8.054009,9.0252
-1.3145399,1.0300499,0.62784
14.1264,-6.01353,7.11225
-4.8069,-1.8835199,1.78542
18.22698,4.2869697,-5.3856897
-0.32373,0.72594,0.44145
9.182159,-0.30411,0.17658
3.24711,-3.6787498,-4.88538
19.14912,3.6787498,-5.65056
0.63764995,0.80442,1.85409
7.7989497,-0.50031,1.4714999
1.94238,-5.20911,-5.15025
18.22698,4.13982,-4.62051
1.25568,0.53955,2.39364
7.6910396,-0.11771999,1.89333
7.73028,-8.701469,8.56413
5.96448,0.99081,-0.59841
12.09573,-7.21035,-5.80752
-0.12753,-0.57879,2.23668
12.3605995,-10.11411,3.1980598
11.02644,1.8344699,-3.11958
13.05711,-7.8578095,-6.65118
-1.3145399,0.42183,3.11958
12.860909,-10.810619,7.7989497
16.84377,3.79647,-5.15025
14.8131,-10.0062,-4.62051
-2.5407898,-1.50093,-2.08953
19.031399,-3.45312,2.9331899
-0.81422997,1.3047299,0.7848
10.25145,-1.0791,8.78976
-0.89271,-2.03067,-4.34583
18.1485,-0.65726995,-1.24587
-0.81422997,1.41264,-0.13734
8.29926,-1.00062,5.4249296
19.18836,-11.310929,8.220779
0.17658,1.2262499,0.70632
11.252069,-7.3182597,8.94672
-3.61989,-0.96137995,-0.86328
16.31403,-5.60151,4.7676597
16.46118,-11.61504,-5.3856897
-3.30597,-0.03924,3.08034
13.439699,-11.958389,9.182159
3.93381,1.1870099,-0.44145
17.60895,-11.23245,-6.2293496
-3.88476,0.53955,2.1287699
18.91368,-13.68495,5.7290397
6.00372,0.95157,-1.12815
13.66533,-9.809999,-3.54141
-1.77561,-1.8835199,-2.66832
16.80453,-0.38259,3.15882
-0.62784,1.1085299,0.36297
10.329929,-0.23543999,6.33726
-1.5499799,0.03924,-3.54141
13.78305,-2.03067,4.54203
