Activity,x,y,z
jogging,3.9730499,2.33478,10.977389
jogging,4.23792,2.63889,6.45498
jogging,4.1201997,-11.732759,-0.32373
jogging,19.41399,4.32621,-2.89395
jogging,8.6818495,-1.8835199,2.3544
jogging,9.76095,-1.42245,-1.89333
jogging,6.65118,-5.9056196,4.9246197
jogging,9.10368,-1.5696,2.01105
jogging,9.33912,-4.52241,3.9239998
jogging,8.15211,-4.82652,4.1201997
jogging,8.41698,-1.80504,3.5021698
jogging,7.0337696,-10.38879,7.6812296
jogging,7.11225,2.75661,4.7676597
jogging,12.01725,-3.45312,-5.5720797
jogging,1.90314,-1.84428,-9.06444
jogging,4.47336,5.82714,-9.40779
jogging,11.6739,-2.99205,-8.721089
jogging,14.74443,-7.05339,5.7290397
jogging,1.55979,1.7658,1.24587
jogging,17.07921,2.9528098,4.8069
jogging,1.6382699,-2.03067,-6.65118
jogging,20.179169,8.240399,-5.65056
jogging,-0.81422997,0.38259,-0.058859996
jogging,7.9559097,1.53036,5.15025
jogging,0.44145,-1.72656,-9.9081
jogging,20.179169,5.44455,-4.62051
jogging,-1.4322599,0.26487,0.13734
jogging,9.83943,2.33478,9.79038
jogging,-0.12753,-2.10915,-5.65056
jogging,19.992779,0.53955,-1.16739
jogging,-1.4714999,0.53955,-0.13734
jogging,6.0822,-0.46107,0.98099995
jogging,1.44207,-3.21768,-2.2072499
jogging,18.992159,4.82652,-7.4556
jogging,-0.70632,0.22563,-0.17658
jogging,5.80752,-0.57879,0.59841
jogging,1.7069399,-2.06991,-2.27592
jogging,17.15769,2.2563,-5.7290397
jogging,0.37278,1.2654899,0.7848
jogging,8.3385,0.11771999,1.6284599
jogging,2.16801,-5.60151,-11.13435
jogging,20.139929,5.7094197,-7.7989497
jogging,-0.97119,0.53955,0.17658
jogging,7.7989497,0.76518,4.08096
jogging,11.44827,-10.19259,6.33726
jogging,13.2435,1.53036,-3.69837
jogging,1.28511,-1.50093,3.31578
jogging,2.40345,-1.50093,2.51136
jogging,4.54203,-7.77933,4.68918
jogging,19.57095,2.5309799,-3.85533
jogging,4.81671,-2.3740199,4.1201997
jogging,1.05948,-0.53955,3.8160899
jogging,6.61194,-10.310309,1.93257
jogging,10.71252,3.37464,-0.98099995
jogging,4.54203,-2.57022,5.4249296
jogging,-3.96324,-2.33478,2.7762299
jogging,19.87506,-13.066919,9.9081
jogging,-1.3145399,0.72594,0.74556
jogging,15.509609,-8.81919,5.53284
jogging,-3.00186,-1.80504,3.2373
jogging,18.76653,-9.54513,7.0337696
jogging,-1.5499799,0.95157,0.82404
jogging,14.43051,-7.27902,7.6419897
