x,y,z,time
1.3102269,5.9825115,7.1832037,1.43001E+12
1.3569138,5.880758,7.053917,1.43001E+12
1.3150153,6.165668,7.7488337,1.43001E+12
0.6560113,5.7724204,7.2580223,1.43001E+12
-1.922544,5.1361613,6.88333,1.43001E+12
-0.7248446,6.1943984,7.3106947,1.43001E+12
-0.5931635,6.199187,6.927623,1.43001E+12
-0.3184288,6.2063694,7.368156,1.43001E+12
-0.29628247,6.3218894,6.959346,1.43001E+12
-0.3250129,6.285378,7.171831,1.43001E+12
-0.15382746,6.3865333,7.0108213,1.43001E+12
-0.003591303,6.4224463,6.855198,1.43001E+12
-0.035913024,6.3129115,7.3005195,1.43001E+12
-0.014963761,6.4481835,6.9348054,1.43001E+12
-0.03172317,6.43322,6.8408327,1.43001E+12
-0.05925649,6.4188547,6.9000893,1.43001E+12
-0.025737667,6.35062,6.952163,1.43001E+12
0.062249243,6.4781113,6.8881183,1.43001E+12
-0.007182605,6.4062853,6.931214,1.43001E+12
-0.08319851,6.254852,6.884527,1.43001E+12
-0.110731825,6.3380504,6.9198413,1.43001E+12
-0.078410104,6.3063273,6.9701195,1.43001E+12
-0.11192893,6.291962,6.9862804,1.43001E+12
-0.10055647,6.332065,6.953959,1.43001E+12
-0.10354923,6.371569,6.906075,1.43001E+12
-0.12449849,6.302736,6.952163,1.43001E+12
-0.15023616,6.2368956,7.1981673,1.43001E+12
0.6003461,7.0036387,6.2380924,1.43001E+12
3.2387564,5.7843914,6.5750766,1.43001E+12
4.8267107,2.4833858,7.137714,1.43001E+12
6.9796963,1.8752584,6.75943,1.43001E+12
8.077438,1.2126632,4.911106,1.43001E+12
8.975264,0.3728969,4.506486,1.43001E+12
8.631097,-0.05805939,4.5005007,1.43001E+12
8.586804,-0.46986207,3.976769,1.43001E+12
9.059061,-0.7164649,3.8630445,1.43001E+12
8.119336,-0.93972415,3.933075,1.43001E+12
7.8853035,-2.3876176,5.3049526,1.43001E+12
7.2939353,-3.5529952,5.373187,1.43001E+12
6.794146,-5.8963203,3.9624038,1.43001E+12
3.7780502,-7.8368206,5.228338,1.43001E+12
1.536479,-7.9032598,4.4963107,1.43001E+12
3.602675,-8.734048,5.4180784,1.43001E+12
1.7495629,-8.034343,5.6485205,1.43001E+12
2.8682537,-7.9266033,6.0202203,1.43001E+12
1.0785879,-6.1650696,5.46297,1.43001E+12
-4.812944,-8.101978,3.8672342,1.43001E+12
