x,y,z,time
-6.8399997, -3.1399999, 5.3599997, 1430065065723
-6.1099997, -3.87, 7.21, 1430065065769
-6.89, -3.4399998, 5.3399997, 1430065065825
-7.3199997, -3.34, 3.9599998, 1430065065896
-7.83, -5.2, 2.61, 1430065065955
-8.29, -3.46, 2.6499999, 1430065066025
-8.62, -3.9399998, 2.02, 1430065066095
-8.62, -7.0899997, 1.53, 1430065066160
-8.98, -5.47, 0.79999995, 1430065066225
-9.23, -4.74, 0.0, 1430065066285
-8.72, -3.24, 1.63, 1430065066355
-8.95, -3.87, 0.52, 1430065066425
-6.5099998, -4.44, -0.07, 1430065066485
-7.77, -5.69, -1.42, 1430065066555
-7.91, -2.9299998, -0.21, 1430065066615
-8.47, -5.1099997, -1.1, 1430065066685
-10.23, -5.4, -1.13, 1430065066745
-6.24, -5.6099997, -1.99, 1430065066816
-8.12, -5.22, 0.45, 1430065066888
-8.639999, -6.62, -0.41, 1430065066949
-7.93, -6.21, -1.1, 1430065067018
-7.73, -4.5899997, -0.76, 1430065067095
-6.1299996, -6.72, -1.42, 1430065067146
-5.47, -6.68, -2.52, 1430065067215
-4.64, -7.21, -3.4299998, 1430065067275
-7.35, -7.8199997, -1.52, 1430065067345
-6.2799997, -7.49, -1.68, 1430065067415
-5.73, -7.75, -1.4599999, 1430065067475
-5.92, -7.0499997, -1.03, 1430065067545
-5.7799997, -7.19, -0.84999996, 1430065067606
-5.66, -8.19, -0.22, 1430065067675
-6.68, -7.99, -0.39999998, 1430065067745
-6.1099997, -7.0, -0.17, 1430065067805
-7.04, -7.97, 1.14, 1430065067875
-7.21, -7.74, -0.22, 1430065067935
-6.69, -6.3399997, -0.85999995, 1430065068005
-9.3, -8.5199995, -1.52, 1430065068075
-5.47, -7.99, -1.62, 1430065068135
-4.35, -9.059999, -1.2099999, 1430065068205
-4.25, -8.65, -0.71999997, 1430065068265
-3.58, -8.71, -0.56, 1430065068335
-4.85, -7.3399997, -0.12, 1430065068406
-1.8499999, -8.94, -0.22999999, 1430065068465
-3.34, -10.83, 0.39999998, 1430065068536
-2.59, -9.74, 0.77, 1430065068596
-1.13, -10.429999, -0.13, 1430065068669
-1.9399999, -10.92, 0.75, 1430065068735
-1.7199999, -8.42, 0.31, 1430065068797
-2.01, -9.59, 0.90999997, 1430065068865
-3.04, -9.929999, 0.83, 1430065068928
-2.8899999, -9.13, 0.93, 1430065068995
-2.86, -9.059999, 0.53999996, 1430065069055
-2.79, -8.73, 0.78999996, 1430065069125
-2.26, -8.38, -0.03, 1430065069195
-3.25, -8.82, 0.89, 1430065069256
-2.32, -9.88, 0.56, 1430065069325
-1.53, -9.57, 0.11, 1430065069395
-2.97, -9.49, 0.19, 1430065069455
-4.0499997, -8.849999, 0.91999996, 1430065069525
-2.44, -8.9, 0.90999997, 1430065069585
-2.4299998, -10.75, 0.65999997, 1430065069656
-3.53, -8.11, 1.12, 1430065069716
