x,y,z,time
-4.5902834, -8.205527, 1.54845, 1430066134259
-4.669292, -8.217499, 2.1775265, 1430066134439
-4.509479, -8.1558485, 2.3265655, 1430066134620
-4.317344, -8.166023, 2.0518308, 1430066134800
-4.5076833, -8.309077, 2.343325, 1430066134980
-4.373608, -8.143877, 2.2391772, 1430066135161
-4.547188, -8.118139, 2.27928, 1430066135342
-4.5340195, -8.113351, 2.3289597, 1430066135521
-4.574721, -8.176199, 2.4349031, 1430066135701
-4.6178164, -8.04751, 2.4809916, 1430066135880
-2.5234885, -8.280945, 2.2984335, 1430066139844
-3.834314, -9.417592, 1.3814543, 1430066140024
-2.8772318, -11.066, 3.256713, 1430066140204
-0.42556936, -11.484387, 3.116652, 1430066140385
-2.4768016, -7.5746555, 2.2661119, 1430066140565
-1.3587095, -3.0131028, 2.9442697, 1430066140745
-6.9491706, -11.131841, 6.7624226, 1430066140926
-7.8984714, -9.35235, 2.344522, 1430066141105
-2.5923219, -5.3324857, 2.131438, 1430066141286
-4.829105, -7.1287355, 2.1894975, 1430066141467
-8.058285, -9.401431, 1.9512744, 1430066141646
-3.4356794, -1.3479356, 1.2246342, 1430066141826
-8.143278, -13.408727, 3.3662477, 1430066142006
-0.48602295, -7.7973166, 1.5981296, 1430066142187
-4.119224, -3.453636, -0.5518635, 1430066142366
-11.016919, -15.340249, 3.0388405, 1430066142547
-0.110133275, -7.0227923, 2.203264, 1430066142728
-5.502474, -5.0601454, 2.3008277, 1430066142908
-14.576498, -19.608511, -3.7541082, 1430066143088
-3.5853171, -6.289568, 1.8854338, 1430066143268
-4.9003325, -5.029619, 0.6314707, 1430066143449
-4.074931, -19.608511, 8.016984, 1430066143629
0.61112, -3.5284548, 0.3489549, 1430066143809
-4.2640734, -7.77936, 2.1679497, 1430066143989
-8.744822, -14.335282, 3.9839516, 1430066144168
-2.9771898, -7.2472486, 1.5652094, 1430066144349
-7.2065473, -8.280347, 0.5979519, 1430066144531
-9.081207, -16.859968, 5.0757074, 1430066144709
-1.1168951, -6.0890536, 2.5145104, 1430066144890
-3.1441853, -8.5299425, 3.6296098, 1430066145070
-6.839636, -14.111424, -0.8535329, 1430066145251
-2.5719712, -8.085219, 1.086369, 1430066145431
-1.8782512, -2.2577322, 1.1797429, 1430066145609
-10.263943, -19.608511, 5.6461263, 1430066145790
2.5623944, -1.0660183, 0.5117606, 1430066145975
-3.0627825, -9.981427, 5.055357, 1430066146150
-5.3737855, -8.224083, -2.806603, 1430066146331
-3.9923313, -3.663727, 0.53450555, 1430066146512
-1.1174936, -5.046977, -0.5081693, 1430066146691
-4.0414124, -16.767193, 3.7421372, 1430066146872
-5.5802855, -0.59495914, 2.5246856, 1430066147052
-1.1180922, -15.359403, 9.657611, 1430066147232
1.0265139, -12.429498, -0.3369839, 1430066147412
-4.996699, -7.3699512, -1.6190789, 1430066147592
-8.343194, -8.75799, -0.2645593, 1430066147772
-0.62608373, -15.801731, -1.3623008, 1430066147953
-0.8762778, -2.0859482, -0.4842273, 1430066148133
-4.0779243, -9.203311, 4.674679, 1430066148313
-5.3516393, -17.228676, -0.009576807, 1430066148493
-2.5743654, -8.913014, 2.0242975, 1430066148673
-6.196194, -4.1706996, -1.7842789, 1430066148872
-9.7641535, -18.67597, 3.982156, 1430066149034
0.5943606, -4.425083, 1.0247183, 1430066149214
-3.0669725, -9.887454, 3.6128504, 1430066149394
-12.494142, -9.717466, -2.4139538, 1430066149574
-3.4452562, -5.6185927, 3.086126, 1430066149754
-4.1802764, -7.6889787, -0.7290344, 1430066149935
-7.785944, -11.6029, 4.863222, 1430066150115
-0.09876082, -0.8194155, 0.5093664, 1430066150295
1.6627731, -18.658613, 8.734647, 1430066150475
-7.7350674, -12.632407, -0.6931214, 1430066150657
-3.0801406, -4.708796, 3.9336734, 1430066150835
-6.70556, -9.820416, 4.575918, 1430066151016
-3.2070332, -7.735666, 1.3401544, 1430066151197
-3.6846764, -5.083489, 0.0724246, 1430066151376
-12.064383, -19.534891, 6.105813, 1430066151556
-3.1723173, -7.715315, 2.2343888, 1430066151736
-2.5360582, -4.337096, -0.23163901, 1430066151916
-2.2481554, -14.936227, 3.2345665, 1430066152096
0.8403648, -1.0773908, 0.8810662, 1430066152277
6.567295, -10.071808, 2.8449101, 1430066152457
-7.7087307, -9.669582, -1.2108675, 1430066152637
-5.401319, -4.159327, 1.3425486, 1430066152817
-6.4086795, -10.266336, 2.1559787, 1430066152997
-0.9115923, -6.0531406, 0.91697925, 1430066153178
-4.059369, -3.7187939, 0.96905315, 1430066153358
-10.338163, -11.128249, -1.2060791, 1430066153538
-1.9560628, -8.031349, 2.1853075, 1430066153718
-7.3029137, -6.453571, 0.12569559, 1430066153898
-7.9212165, -14.837466, 6.420052, 1430066154079
-0.049081136, -2.3133974, -1.1959038, 1430066154259
0.010773907, -8.874108, 7.98586, 1430066154439
-2.5486276, -10.720038, -1.2282255, 1430066154619
-6.443395, -10.150817, 1.6298528, 1430066154798
-0.40342298, -19.608511, 7.563882, 1430066154979
0.45848963, -4.9386396, -1.2982559, 1430066155159
-1.9847932, -8.398261, 7.9086466, 1430066155340
-1.9123687, -19.608511, 6.6325374, 1430066155520
1.9470845, -6.4487824, -0.7649474, 1430066155700
-6.5140243, -6.290765, 1.91596, 1430066155880
-5.1104236, -5.159505, -2.1745336, 1430066156061
-9.975441, -19.108723, 3.578733, 1430066156241
2.042254, -4.2580876, 1.1917139, 1430066156421
-1.6597804, -7.038953, 1.1695676, 1430066156601
-8.0684595, -19.603724, 10.208876, 1430066156781
-0.39683893, -7.1484876, 4.0019083, 1430066156961
-6.4978633, -12.319963, 3.3997664, 1430066157141
-1.3940239, -5.8963203, 2.1440077, 1430066157322
-3.0520086, -8.44016, 5.6425347, 1430066157502
-8.230068, -12.691065, -3.3441012, 1430066157682
-2.1505916, -5.719748, 3.8163576, 1430066157864
-6.8049197, -7.1634517, 3.6655228, 1430066158042
-1.6915035, -9.950302, 1.99437, 1430066158223
-4.0982747, -6.0728927, -2.3588872, 1430066158403
-1.2856863, -18.640057, 9.524135, 1430066158583
0.43514615, -5.971139, 3.879804, 1430066158764
-12.054207, -10.952275, 4.064756, 1430066158943
0.29448682, -7.6943655, 1.9243397, 1430066159123
-0.54168814, -7.32925, 9.202114, 1430066159303
-5.2480903, -16.879122, -3.2650926, 1430066159484
0.24420857, -5.275025, 4.284424, 1430066159664
-9.703699, -10.927735, 1.4885949, 1430066159844
-1.049259, -10.002377, 1.9835961, 1430066160024
-1.5885528, -9.883265, 3.2968156, 1430066160203
-10.446501, -19.608511, 19.337368, 1430066160384
-2.497751, -6.1046157, 2.066196, 1430066160565
-8.319252, -5.5802855, -2.202067, 1430066160745
-4.140772, -12.789825, 6.555923, 1430066160930
1.8549078, 1.2605472, 1.4012065, 1430066161105
-0.3465607, -14.189237, 5.2367177, 1430066161285
-1.1186907, -8.978855, 0.9367314, 1430066161466
-5.016451, -1.4939818, -0.6039374, 1430066161646
-4.927267, -19.29547, 8.744224, 1430066161826
-0.20410569, 1.8459295, 1.8938135, 1430066162006
-3.857059, -19.608511, 10.171167, 1430066162186
2.055422, -8.054693, -2.5875335, 1430066162366
-8.130111, -5.6060233, -0.33638534, 1430066162547
-4.0456023, -9.192537, 1.6496049, 1430066162727
-3.9743748, -14.538191, 1.5795746, 1430066162907
-0.6015432, 1.2862848, 0.39564183, 1430066163087
-8.176199, -13.777433, 5.1277814, 1430066163267
-4.3239284, -7.6351094, -0.52373165, 1430066163447
-2.6964695, -3.41892, 1.1498153, 1430066163628
-4.644751, -8.379107, 2.653374, 1430066163808
-1.1528081, -7.3968863, 2.12246, 1430066163988
-4.4406457, -8.361151, 4.107253, 1430066164168
-4.9559975, -18.097172, 7.3938932, 1430066164348
-1.5891514, -5.321113, 3.821146, 1430066164529
-9.51755, -8.054094, 0.9307459, 1430066164709
-5.2169657, -9.956287, 4.211401, 1430066164889
-1.6071079, -2.5408466, 1.0043676, 1430066165070
-12.608464, -16.680403, -2.0374656, 1430066165249
-1.3132197, -7.3909006, 1.638831, 1430066165430
-5.6179943, -5.0308166, -2.180519, 1430066165610
-3.426701, -11.481993, 4.520851, 1430066165790
-1.4550761, 1.1360487, 0.9516952, 1430066165970
-9.858724, -19.608511, 16.09921, 1430066166150
-2.9646204, -5.3743844, 3.0083144, 1430066166330
-9.141661, -6.8773446, 1.216853, 1430066166511
-4.140772, -7.864354, 4.721366, 1430066166691
-4.732738, -4.3502645, -0.29209262, 1430066166871
-13.320141, -17.979258, 3.6122518, 1430066167051
-1.7525556, -6.627749, 3.2333694, 1430066167231
-7.4788876, -7.463325, 2.0069396, 1430066167411
-3.056797, -8.491635, 4.6525326, 1430066167591
-2.4905684, -1.8148049, 0.82719666, 1430066167772
-8.674192, -16.06629, 2.5067291, 1430066167951
-0.961272, -7.441179, 1.4335283, 1430066168132
-7.89907, -6.190807, 0.58119243, 1430066168312
-3.743933, -13.389573, 7.215525, 1430066168492
0.06943185, -1.1881226, 0.30765492, 1430066168673
3.1627405, -6.6385226, 2.5169046, 1430066168853
-9.5809965, -12.628816, -6.181829, 1430066169032
-8.944139, -2.6342204, 2.9041667, 1430066169212
-0.7637503, -14.016255, 3.7493198, 1430066169392
-1.1007342, -3.311181, 0.50996494, 1430066169573
-0.11432313, -9.431957, 7.799112, 1430066169753
-4.421492, -8.139089, 3.1322143, 1430066169933
-5.6221843, -8.457518, 2.070386, 1430066170113
-0.76075757, -4.8320975, 1.3305776, 1430066170293
-6.171055, -18.59756, 2.9311013, 1430066170474
-0.39324763, -1.5753847, 1.9195513, 1430066170654
-4.6405616, -8.579023, 1.8980033, 1430066170834
-11.899182, -8.722076, -0.35075054, 1430066171014
-2.355296, -6.299743, 2.7192147, 1430066171194
-3.4261026, -6.4427967, -0.08559271, 1430066171375
-2.8275523, -12.361862, 6.909666, 1430066171555
0.30945057, 0.42437226, -0.8972271, 1430066171735
-5.7999535, -19.608511, 5.5102553, 1430066171915
-3.1112652, -5.81791, 2.6198552, 1430066172095
-7.8954787, -6.3889275, 0.8194155, 1430066172276
-1.9764135, -10.884041, 4.9063177, 1430066172456
-1.0324994, 0.13347675, 2.5498247, 1430066172636
3.7062242, -13.057378, 3.8708255, 1430066172816
-3.3728316, -9.59177, 2.822764, 1430066172996
