x,y,z,time
-7.4556,-5.3856897,2.0502899,1.43032E+12
-7.72047,-5.04234,1.5499799,1.43032E+12
-8.11287,-5.65056,2.1287699,1.43032E+12
-8.49546,-5.7290397,1.93257,1.43032E+12
-7.61256,-5.65056,2.43288,1.43032E+12
-7.1514897,-5.4249296,2.31516,1.43032E+12
-7.07301,-5.04234,2.08953,1.43032E+12
-6.88662,-4.46355,1.85409,1.43032E+12
-6.61194,-4.08096,2.08953,1.43032E+12
-7.0337696,-4.7382298,1.5499799,1.43032E+12
-6.74928,-4.87557,1.81485,1.43032E+12
-6.5530796,-5.2974,1.93257,1.43032E+12
-6.44517,-5.4151196,2.6192698,1.43032E+12
-6.8669996,-5.4936,2.6977499,1.43032E+12
-8.12268,-5.83695,2.1287699,1.43032E+12
-8.01477,-6.41574,2.58984,1.43032E+12
-6.5138397,-5.15025,2.0502899,1.43032E+12
-5.7879,-5.2974,1.78542,1.43032E+12
-5.28759,-5.37588,2.08953,1.43032E+12
-3.14901,-4.64994,1.89333,1.43032E+12
-0.92214,-3.68856,0.90252,1.43032E+12
-6.4746,-5.99391,0.32373,1.43032E+12
-5.1011996,-7.5242696,1.89333,1.43032E+12
-2.34459,-7.44579,1.6676999,1.43032E+12
-5.36607,-9.3195,1.20663,1.43032E+12
-7.6714196,-10.54575,2.47212,1.43032E+12
-6.59232,-10.163159,2.97243,1.43032E+12
-4.7578497,-8.47584,2.6192698,1.43032E+12
-3.5316,-7.7499,1.93257,1.43032E+12
-6.5530796,-6.5236497,0.51993,1.43032E+12
-5.0619597,-6.9847198,0.66708,1.43032E+12
-2.91357,-6.8669996,1.5892199,1.43032E+12
-2.26611,-8.5150795,2.47212,1.43032E+12
-3.61008,-8.93691,0.94175994,1.43032E+12
-4.79709,-8.8289995,0.16677,1.43032E+12
-6.97491,-10.163159,0.70632,1.43032E+12
-7.70085,-10.32012,1.01043,1.43032E+12
-8.66223,-10.05525,1.28511,1.43032E+12
-5.48379,-4.22811,3.46293,1.43032E+12
0.8829,-9.054629,-4.54203,1.43032E+12
-5.7486596,-15.42132,4.84614,1.43032E+12
-7.09263,-9.515699,1.6676999,1.43032E+12
-7.9755297,-9.78057,0.7848,1.43032E+12
-7.6714196,-10.24164,0.90252,1.43032E+12
-6.89643,-10.85967,1.36359,1.43032E+12
-5.94486,-11.9682,1.7461799,1.43032E+12
-2.83509,-13.61628,3.15882,1.43032E+12
-2.83509,-12.772619,4.4243097,1.43032E+12
-1.42245,-9.59418,4.54203,1.43032E+12
-2.26611,-9.17235,4.7676597,1.43032E+12
-4.98348,-9.29007,1.81485,1.43032E+12
-5.60151,-8.59356,1.78542,1.43032E+12
-7.24959,-8.8289995,-1.08891,1.43032E+12
-5.32683,-7.3280697,-1.40283,1.43032E+12
-4.56165,-5.99391,3.0116699,1.43032E+12
-4.33602,-6.33726,2.81547,1.43032E+12
-4.2183,-7.22016,1.36359,1.43032E+12
-3.61008,-9.35874,0.40221,1.43032E+12
-5.5622697,-7.3673096,-0.98099995,1.43032E+12
-6.3666897,-7.5242696,1.5892199,1.43032E+12
-6.2097297,-6.79833,0.5886,1.43032E+12
-4.2575397,-7.28883,0.5886,1.43032E+12
-3.14901,-7.60275,1.32435,1.43032E+12
-3.6787498,-7.56351,1.01043,1.43032E+12
-3.9926698,-8.17173,0.70632,1.43032E+12
-3.29616,-6.90624,-0.32373,1.43032E+12
-0.27468,-7.86762,-1.78542,1.43032E+12
-1.2262499,-9.09387,-1.97181,1.43032E+12
-1.60884,-9.09387,-1.05948,1.43032E+12
-2.6094599,-9.25083,-0.01962,1.43032E+12
-3.95343,-9.015389,0.32373,1.43032E+12
-4.7578497,-9.4764595,2.08953,1.43032E+12
-4.86576,-8.13249,1.97181,1.43032E+12
-1.34397,-9.21159,0.97119,1.43032E+12
-1.8835199,-9.015389,1.20663,1.43032E+12
-2.6094599,-8.93691,1.32435,1.43032E+12
-3.8357098,-9.554939,1.08891,1.43032E+12
-3.79647,-8.59356,0.97119,1.43032E+12
-5.48379,-4.64994,2.08953,1.43032E+12
-6.74928,-4.53222,2.81547,1.43032E+12
-7.8578095,-6.60213,4.2673497,1.43032E+12
-5.0619597,-8.78976,-8.83881,1.43032E+12
-6.17049,-18.639,-0.67688996,1.43032E+12
-6.09201,-12.35079,2.89395,1.43032E+12
