x,y,z,time
-4.13982,-7.89705,4.16925,1.43032E+12
-9.92772,-8.58375,-2.72718,1.43032E+12
-3.87495,-4.48317,0.25506,1.43032E+12
-1.11834,-12.458699,-1.04967,1.43032E+12
-0.57879,-5.60151,0.029429998,1.43032E+12
-2.5309799,-10.19259,0.45126,1.43032E+12
-4.9049997,-8.50527,-1.19682,1.43032E+12
-4.29678,-7.59294,1.52055,1.43032E+12
-0.76518,-7.05339,-0.3924,1.43032E+12
-4.79709,-12.11535,2.0600998,1.43032E+12
-5.5622697,-2.41326,3.16863,1.43032E+12
-6.28821,-19.09026,1.52055,1.43032E+12
2.67813,1.2262499,1.02024,1.43032E+12
3.63951,-10.15335,-3.2667298,1.43032E+12
-6.0233397,-4.29678,6.3863096,1.43032E+12
-2.99205,-19.09026,1.90314,1.43032E+12
1.0300499,0.14715,-0.47087997,1.43032E+12
-5.2189198,-15.7941,3.85533,1.43032E+12
-1.42245,-5.48379,4.63032,1.43032E+12
1.3047299,-5.28759,-2.92338,1.43032E+12
4.82652,-11.458079,-2.34459,1.43032E+12
-1.9619999,-13.567229,7.88724,1.43032E+12
0.60822,-17.32446,0.59841,1.43032E+12
5.7094197,9.27045,-5.7192297,1.43032E+12
-3.8357098,-15.7941,-3.30597,1.43032E+12
-8.093249,-3.0312898,7.5046496,1.43032E+12
1.60884,-19.619999,1.52055,1.43032E+12
-0.1962,-7.3182597,5.50341,1.43032E+12
-1.50093,-16.2846,9.15273,1.43032E+12
4.40469,-15.676379,2.24649,1.43032E+12
5.5524597,8.2011595,-6.33726,1.43032E+12
-2.03067,-14.79348,-2.11896,1.43032E+12
-7.6321797,-1.2654899,6.2784,1.43032E+12
-2.83509,-19.50228,3.0214798,1.43032E+12
-0.15696,-13.22388,7.6517997,1.43032E+12
-0.50031,-19.619999,1.33416,1.43032E+12
-2.79585,-0.76518,3.4334998,1.43032E+12
-1.60884,-9.1625395,-4.83633,1.43032E+12
4.52241,-5.2483497,-3.14901,1.43032E+12
-5.9841,-3.79647,4.09077,1.43032E+12
-10.61442,-18.43299,1.29492,1.43032E+12
1.1870099,-14.87196,11.330549,1.43032E+12
0.8829,-19.433609,5.01291,1.43032E+12
0.42183,-4.86576,6.5432696,1.43032E+12
4.16925,-2.14839,-7.5242696,1.43032E+12
8.16192,-7.23978,-6.3764997,1.43032E+12
-1.9619999,-7.89705,7.8479996,1.43032E+12
9.04482,-18.9333,0.67688996,1.43032E+12
1.0692899,7.27902,-6.25878,1.43032E+12
-1.38321,-14.37165,-4.99329,1.43032E+12
-1.54017,-6.8571897,4.4341197,1.43032E+12
6.17049,0.95157,-7.14168,1.43032E+12
8.9271,-5.63094,-6.8669996,1.43032E+12
-3.79647,-6.5530796,6.92586,1.43032E+12
9.27045,-19.58076,2.0600998,1.43032E+12
1.0300499,5.36607,-5.95467,1.43032E+12
-2.4524999,-14.528609,-2.50155,1.43032E+12
-8.39736,0.07848,2.7075598,1.43032E+12
-10.15335,-18.550709,1.02024,1.43032E+12
1.0300499,-14.489369,11.94858,1.43032E+12
5.01291,-19.19817,7.5046496,1.43032E+12
5.7094197,-19.58076,1.40283,1.43032E+12
1.1085299,3.2569199,-4.68918,1.43032E+12
-2.9528098,-17.550089,-1.77561,1.43032E+12
-5.36607,-0.76518,2.28573,1.43032E+12
-6.8277597,-16.94187,0.98099995,1.43032E+12
-0.53955,-13.027679,5.05215,1.43032E+12
0.38259,-18.697859,7.11225,1.43032E+12
1.2654899,-9.92772,5.3954997,1.43032E+12
6.13125,4.2869697,-6.8669996,1.43032E+12
9.57456,-9.69228,-5.8761897,1.43032E+12
-5.9841,-0.80442,3.6297,1.43032E+12
-7.9755297,-18.12888,0.91233,1.43032E+12
2.5309799,-14.59728,11.5659895,1.43032E+12
2.9429998,-18.697859,7.38693,1.43032E+12
-0.80442,-7.1711097,4.63032,1.43032E+12
5.2483497,0.76518,-7.9853396,1.43032E+12
6.23916,-5.9841,-6.5236497,1.43032E+12
0.49049997,-10.15335,10.33974,1.43032E+12
7.39674,-19.15893,0.10791,1.43032E+12
1.1477699,6.2784,-4.95405,1.43032E+12
2.4524999,-19.15893,2.66832,1.43032E+12
-2.03067,-3.8357098,7.0435796,1.43032E+12
2.67813,-6.09201,-4.57146,1.43032E+12
6.5138397,-5.94486,-1.19682,1.43032E+12
0.56898,-14.214689,8.573939,1.43032E+12
3.1392,-15.715619,1.6775099,1.43032E+12
4.86576,10.11411,-7.3280697,1.43032E+12
5.81733,-4.98348,-3.61008,1.43032E+12
-5.02272,-3.95343,6.16068,1.43032E+12
7.88724,-19.619999,2.0600998,1.43032E+12
0.91233,-3.6002698,1.44207,1.43032E+12
2.17782,-17.589329,9.682469,1.43032E+12
3.5217898,-14.75424,2.90376,1.43032E+12
4.16925,9.809999,-6.94548,1.43032E+12
9.15273,-12.2625,-2.6977499,1.43032E+12
-4.71861,-6.0527697,8.41698,1.43032E+12
8.77014,-19.619999,2.0600998,1.43032E+12
0.46107,-1.8835199,-0.20601,1.43032E+12
-2.3838298,-17.66781,-2.04048,1.43032E+12
-7.43598,0.60822,2.7075598,1.43032E+12
-4.86576,-16.13745,-0.47087997,1.43032E+12
3.40407,-10.23183,-2.6977499,1.43032E+12
-6.09201,-1.64808,5.62113,1.43032E+12
5.36607,-19.619999,0.87308997,1.43032E+12
4.13982,-8.054009,7.3084497,1.43032E+12
4.36545,-17.510849,1.25568,1.43032E+12
-0.76518,-2.3740199,6.30783,1.43032E+12
2.03067,-6.5530796,-4.79709,1.43032E+12
6.31764,-9.46665,-3.5021698,1.43032E+12
1.60884,-12.22326,7.8479996,1.43032E+12
3.71799,-17.24598,0.21582,1.43032E+12
0.6867,10.07487,-4.9148097,1.43032E+12
-4.79709,0.64746,3.5119798,1.43032E+12
-12.72357,-17.02035,1.29492,1.43032E+12
-10.810619,-16.86339,3.7474198,1.43032E+12
-4.2575397,-14.79348,1.44207,1.43032E+12
3.9043798,-6.28821,-4.49298,1.43032E+12
5.67018,-1.2262499,-7.0632,1.43032E+12
8.240399,2.59965,-8.554319,1.43032E+12
6.4746,6.89643,-9.43722,1.43032E+12
4.5910797,13.6359,-8.02458,1.43032E+12
3.21768,15.283979,-6.1802998,1.43032E+12
2.56041,14.175449,-6.2195396,1.43032E+12
1.9914299,12.105539,-5.37588,1.43032E+12
-0.46107,8.96634,-7.21035,1.43032E+12
0.34335,1.68732,-6.56289,1.43032E+12
1.45188,-0.30411,-3.64932,1.43032E+12
2.83509,-3.4138799,0.33354,1.43032E+12
2.56041,-10.53594,11.94858,1.43032E+12
2.06991,-14.9112,18.38394,1.43032E+12
3.2569199,-18.85482,19.49247,1.43032E+12
3.21768,-16.74567,15.2055,1.43032E+12
-2.76642,-9.28026,4.16925,1.43032E+12
-5.4053097,-6.5530796,3.05091,1.43032E+12
-4.9049997,-2.68794,-12.311549,1.43032E+12
-3.1097698,3.6787498,-19.62981,1.43032E+12
20.22822,-12.880529,12.01725,1.43032E+12
20.22822,-19.433609,15.39189,1.43032E+12
15.98049,-19.619999,-19.44342,1.43032E+12
-4.79709,-14.714999,10.37898,1.43032E+12
-7.3182597,-10.9185295,-11.04606,1.43032E+12
-7.13187,-10.23183,-10.1239195,1.43032E+12
-6.13125,-10.8891,-1.50093,1.43032E+12
0.64746,-18.35451,1.52055,1.43032E+12
0.38259,-19.619999,1.02024,1.43032E+12
-1.84428,-19.619999,1.7559899,1.43032E+12
-4.7578497,-19.619999,1.1772,1.43032E+12
-3.0312898,-19.619999,-6.10182,1.43032E+12
0.56898,-19.27665,-5.2974,1.43032E+12
4.13982,-18.629189,2.9429998,1.43032E+12
9.11349,-19.619999,11.94858,1.43032E+12
7.4654098,-19.58076,11.98782,1.43032E+12
5.16987,-17.589329,10.33974,1.43032E+12
3.9043798,-15.4115095,9.4176,1.43032E+12
3.0999599,-12.880529,7.6910396,1.43032E+12
-0.03924,-6.0527697,2.1385798,1.43032E+12
-2.03067,-2.57022,4.4341197,1.43032E+12
-3.0312898,-0.61803,9.182159,1.43032E+12
-5.36607,-0.61803,10.86948,1.43032E+12
-9.77076,-4.06134,8.83881,1.43032E+12
-9.88848,-4.6008897,7.1907296,1.43032E+12
