x,y,z,time
-6.26859,-6.59232,6.58251,1.43032E+12
-6.2293496,-7.13187,3.0116699,1.43032E+12
-3.85533,-5.44455,1.44207,1.43032E+12
-3.31578,-10.65366,3.55122,1.43032E+12
-4.2771597,-5.7879,-1.57941,1.43032E+12
-6.0822,-8.85843,1.13796,1.43032E+12
-3.4334998,-9.96696,0.2943,1.43032E+12
-6.6904197,-10.57518,1.44207,1.43032E+12
-4.7382298,-7.24959,2.28573,1.43032E+12
-5.0031,-12.80205,2.7860398,1.43032E+12
-6.0429597,-6.6707997,1.44207,1.43032E+12
-3.12939,-12.57642,0.75536996,1.43032E+12
-6.42555,-13.22388,6.3863096,1.43032E+12
-6.49422,-18.43299,2.7075598,1.43032E+12
5.26797,2.83509,-1.81485,1.43032E+12
-8.49546,-12.919769,2.32497,1.43032E+12
0.82404,-9.50589,4.4341197,1.43032E+12
2.43288,0.56898,0.83384997,1.43032E+12
-3.2765398,-8.4366,0.49049997,1.43032E+12
-5.1993,-9.00558,6.30783,1.43032E+12
-9.94734,-16.74567,6.23916,1.43032E+12
5.7290397,1.68732,0.13734,1.43032E+12
-8.18154,-16.74567,0.94175994,1.43032E+12
-2.16801,-6.5530796,4.16925,1.43032E+12
1.3145399,-0.61803,0.41202,1.43032E+12
0.28449,-7.3182597,-0.24524999,1.43032E+12
-3.69837,1.1477699,2.7075598,1.43032E+12
0.62784,-6.4746,1.33416,1.43032E+12
-6.5727,-14.79348,-1.15758,1.43032E+12
-7.4556,-14.10678,2.98224,1.43032E+12
-1.24587,-8.701469,0.94175994,1.43032E+12
-4.46355,-9.50589,0.63764995,1.43032E+12
-2.66832,-14.2245,6.00372,1.43032E+12
2.11896,-11.418839,-0.08829,1.43032E+12
-4.7382298,-9.1233,4.4341197,1.43032E+12
-2.47212,-13.527989,-1.4322599,1.43032E+12
1.16739,-11.35017,5.3954997,1.43032E+12
-3.6591299,-14.87196,1.6382699,1.43032E+12
-1.98162,-5.9841,2.16801,1.43032E+12
-0.90252,-6.24897,2.7075598,1.43032E+12
-1.1772,-12.49794,0.25506,1.43032E+12
-6.80814,-14.567849,1.52055,1.43032E+12
-1.48131,-6.0527697,-0.66708,1.43032E+12
-1.5892199,-6.63156,2.2072499,1.43032E+12
-2.28573,-13.30236,0.10791,1.43032E+12
-4.35564,-13.64571,1.82466,1.43032E+12
0.93195,-11.310929,3.12939,1.43032E+12
0.24524999,-0.1962,2.0600998,1.43032E+12
-2.8547099,-6.7100396,0.75536996,1.43032E+12
-4.3164,-5.9841,5.5426497,1.43032E+12
-4.39488,-13.44951,5.12082,1.43032E+12
1.5499799,-9.58437,1.7167499,1.43032E+12
-3.8945699,-14.067539,1.48131,1.43032E+12
-4.2771597,-5.02272,0.71612996,1.43032E+12
-1.90314,-5.9841,3.36483,1.43032E+12
-2.01105,-15.55866,-0.3924,1.43032E+12
-4.96386,-12.99825,1.78542,1.43032E+12
-5.34645,-4.52241,2.02086,1.43032E+12
-5.5818896,-13.80267,5.31702,1.43032E+12
1.12815,-10.957769,2.36421,1.43032E+12
-3.2765398,-15.29379,3.12939,1.43032E+12
