x,y,z,time
-8.77995,-7.4654098,0.63764995,1.43032E+12
-5.1011996,-8.3483095,-1.15758,1.43032E+12
-3.37464,-9.15273,1.21644,1.43032E+12
-2.14839,-9.27045,0.98099995,1.43032E+12
-5.7094197,-5.5524597,0.2943,1.43032E+12
-5.2189198,-9.15273,0.25506,1.43032E+12
-3.71799,-13.09635,1.98162,1.43032E+12
-1.9227599,-7.62237,2.7468,1.43032E+12
-1.7658,-7.6616096,2.66832,1.43032E+12
-1.64808,-7.73028,2.48193,1.43032E+12
-0.73574996,-6.7002296,2.24649,1.43032E+12
0.72594,-6.62175,2.7468,1.43032E+12
1.60884,-7.0435796,2.09934,1.43032E+12
2.4524999,-4.47336,3.8945699,1.43032E+12
3.1784399,-5.97429,-3.22749,1.43032E+12
-1.38321,-6.2784,-1.9619999,1.43032E+12
-5.48379,-6.92586,1.29492,1.43032E+12
-7.24959,-7.58313,3.16863,1.43032E+12
-7.3574996,-8.00496,4.1300097,1.43032E+12
-5.5622697,-7.88724,4.16925,1.43032E+12
-3.79647,-7.6616096,4.1300097,1.43032E+12
-1.9619999,-6.5432696,4.1300097,1.43032E+12
-1.72656,-6.12144,4.09077,1.43032E+12
-1.42245,-6.0822,3.8945699,1.43032E+12
-1.11834,-6.0822,3.6297,1.43032E+12
-1.00062,-6.1999197,2.8645198,1.43032E+12
-1.2654899,-6.1999197,2.82528,1.43032E+12
-1.46169,-6.2784,3.32559,1.43032E+12
-1.8835199,-6.3961196,3.6689398,1.43032E+12
-2.34459,-6.77871,4.35564,1.43032E+12
-3.87495,-7.76952,5.77809,1.43032E+12
-4.6008897,-8.387549,6.26859,1.43032E+12
-5.44455,-9.19197,6.72966,1.43032E+12
-6.2097297,-9.80019,6.80814,1.43032E+12
-6.74928,-10.143539,6.88662,1.43032E+12
-5.9056196,-10.07487,6.92586,1.43032E+12
-4.79709,-9.69228,7.3476896,1.43032E+12
-4.1005797,-9.27045,7.6517997,1.43032E+12
-3.07053,-8.80938,8.073629,1.43032E+12
-2.3053498,-8.573939,7.8479996,1.43032E+12
-1.46169,-8.15211,7.0043397,1.43032E+12
-0.96137995,-8.19135,6.00372,1.43032E+12
-0.84366,-10.84005,5.2385397,1.43032E+12
-0.96137995,-13.822289,4.97367,1.43032E+12
-0.96137995,-17.31465,4.65975,1.43032E+12
-0.96137995,-19.57095,3.6297,1.43032E+12
-2.3053498,-19.57095,0.91233,1.43032E+12
-3.5316,-15.548849,1.78542,1.43032E+12
-2.8743298,-11.02644,1.94238,1.43032E+12
-0.11771999,-8.387549,1.40283,1.43032E+12
0.99081,-5.27778,-1.19682,1.43032E+12
5.16987,-1.13796,-4.95405,1.43032E+12
5.16987,-1.13796,-4.95405,1.43032E+12
4.24773,-2.48193,4.05153,1.43032E+12
2.2170599,-5.05215,6.6609898,1.43032E+12
-0.57879,-10.53594,-3.64932,1.43032E+12
-1.38321,-12.67452,-8.06382,1.43032E+12
-1.50093,-13.79286,-9.67266,1.43032E+12
-2.72718,-14.44032,-8.21097,1.43032E+12
-8.62299,-14.55804,-3.3452098,1.43032E+12
-10.57518,-12.17421,-2.96262,1.43032E+12
-10.65366,-10.76157,1.48131,1.43032E+12
-9.08406,-10.84005,1.98162,1.43032E+12
-4.71861,-9.27045,-0.3924,1.43032E+12
-3.5316,-8.91729,-0.81422997,1.43032E+12
-2.68794,-8.77014,-1.3145399,1.43032E+12
-2.41326,-8.69166,-1.77561,1.43032E+12
-1.80504,-8.848619,-1.54017,1.43032E+12
-0.53955,-8.91729,-0.24524999,1.43032E+12
-0.73574996,-8.848619,0.25506,1.43032E+12
-1.8835199,-8.61318,0.41202,1.43032E+12
-5.02272,-8.23059,-0.04905,1.43032E+12
-6.0233397,-8.08344,0.49049997,1.43032E+12
-6.59232,-7.8479996,0.75536996,1.43032E+12
-6.5530796,-7.5046496,0.55917,1.43032E+12
-5.94486,-7.2005396,0.41202,1.43032E+12
