x,y,z
-0.70632,2.3740199,9.06444
-0.43164,2.14839,9.14292
3.28635,0.03924,7.8381896
16.000109,3.79647,1.08891
7.0337696,-3.0312898,-4.50279
9.33912,-4.94424,1.6284599
10.02582,0.42183,-1.7069399
13.05711,-3.14901,1.4322599
4.5812697,-2.3740199,3.5806499
9.6432295,0.46107,8.6818495
2.9331899,-0.61803,1.4322599
9.10368,-3.6787498,-8.06382
5.92524,-3.3353999,-7.6812296
9.0252,1.2654899,-6.79833
5.3856897,-1.00062,-8.06382
7.3476896,-2.8743298,-0.90252
10.22202,1.7952299,-4.23792
8.83881,-3.4923599,-5.5720797
4.7774696,0.60822,-3.0116699
11.83086,-2.83509,3.9239998
7.61256,-1.00062,-0.24524999
5.8859997,2.79585,-1.08891
9.72171,-1.50093,0.36297
8.87805,0.18639,0.7848
9.26064,-1.50093,2.39364
15.656759,-2.5309799,-1.7461799
8.91729,0.30411,0.28449
7.3476896,0.53955,-0.98099995
13.74381,0,-0.40221
7.7989497,-0.1962,0.20601
10.830239,-1.64808,1.28511
12.05649,-3.7572298,-0.51993
6.61194,-0.8829,0.24524999
5.46417,2.91357,-0.66708
7.9951496,-1.2654899,0.28449
7.57332,-0.15696,0.70632
8.721089,-0.30411,1.93257
14.8131,-2.8743298,-0.0981
8.61318,-0.11771999,0.51993
4.35564,3.8258998,-1.08891
12.67452,-3.63951,1.7461799
7.8381896,0.30411,0.55917
11.6739,-0.42183,1.16739
10.94796,-3.4923599,1.5499799
7.3476896,-1.68732,-1.16739
4.96386,3.29616,1.40283
10.9872,-1.53036,2.8547099
6.3470697,-0.38259,0.62784
9.9081,-1.0791,0.59841
8.79957,-3.21768,3.54141
4.89519,-0.03924,-0.24524999
12.09573,0.14715,0.62784
11.252069,-2.6487,-0.24524999
6.65118,0.64746,0.55917
12.252689,-1.38321,1.6676999
11.330549,-3.9828598,0.7848
7.11225,-1.72656,-0.82404
4.7774696,1.9521899,-2.27592
9.76095,8.30907,-3.4334998
10.369169,-3.0312898,0.86328
9.60399,-1.9914299,0.66708
8.79957,-0.84366,0.32373
14.1264,0.8829,0.62784
12.291929,-8.240399,-0.44145
10.369169,1.8344699,0.44145
4.62051,1.0300499,1.04967
9.26064,-1.9227599,4.46355
6.0429597,-0.53955,0.82404
10.67328,-1.38321,0.82404
13.3219795,-5.36607,-0.51993
5.5426497,-0.76518,0.0981
4.7382298,2.91357,0.62784
14.20488,-2.9528098,-0.17658
5.6996098,-0.38259,0.17658
13.547609,-1.2262499,1.01043
12.63528,-3.8357098,0.32373
4.2771597,-0.42183,0.01962
6.80814,4.7480397,-1.93257
9.682469,-3.0312898,3.11958
6.0822,-0.65726995,0.51993
10.329929,-1.64808,0.7848
14.1264,-3.87495,2.08953
3.8160899,-0.30411,0.0981
17.38332,-3.6787498,-1.28511
8.87805,-2.14839,-0.82404
7.7989497,0.34335,-0.13734
15.156449,-1.00062,-0.0981
9.9081,-3.2569199,-1.08891
2.89395,-0.11771999,-0.28449
16.61814,-3.95343,0.01962
8.0343895,-1.5696,-0.36297
7.73028,0.72594,0.058859996
15.509609,-0.23543999,0.7848
10.52613,-2.57022,-0.40221
1.98162,2.33478,-1.04967
4.89519,-0.15696,2.39364
7.41636,-0.92214,1.36359
8.260019,-0.65726995,0.0981
14.16564,-1.2654899,0.28449
9.52551,-1.3047299,-1.02024
3.8945699,0.60822,-0.28449
17.50104,-0.23543999,-0.44145
9.52551,-0.65726995,1.01043
9.0252,-0.57879,0.82404
9.9081,-0.84366,1.40283
9.72171,-6.89643,-1.02024
5.8859997,-2.3053498,0.7848
9.94734,3.71799,-0.90252
9.83943,-4.1005797,2.7762299
8.49546,0.11771999,1.28511
12.13497,2.3740199,2.01105
3.85533,-4.56165,5.65056
4.09077,-1.42245,-1.12815
15.35265,-6.63156,-1.6676999
7.7989497,-1.0791,0.62784
10.1043,-0.46107,-0.058859996
19.29627,-9.1625395,-1.82466
8.41698,-0.69650996,1.16739
4.15944,4.63032,-4.23792
14.28336,-3.2569199,0.94175994
7.87743,-0.80442,-0.21582
13.28274,0.03924,0.0981
12.399839,-1.8835199,0.0981
1.52055,0.56898,0.058859996
17.50104,-3.29616,0.058859996
8.61318,0.30411,-0.44145
8.260019,0,1.40283
14.970059,-2.83509,-1.04967
5.6996098,0.60822,-0.058859996
6.00372,3.0214798,-4.50279
11.44827,-3.21768,-0.17658
6.65118,0.11771999,0.0981
14.322599,-0.07848,1.08891
11.13435,-0.38259,0.28449
3.16863,-0.8829,0.17658
16.3827,-1.9227599,-0.44145
9.52551,-0.57879,-1.02024
8.260019,0.14715,0.44145
12.3605995,-2.06991,-1.44207
8.573939,0.64746,0.40221
3.4334998,2.8743298,1.04967
9.14292,-3.29616,2.47212
7.26921,-0.38259,0.51993
12.5568,-1.38321,0.70632
11.40903,-2.3740199,2.31516
5.1993,-0.34335,-0.13734
6.12144,4.32621,0.66708
8.9957695,-1.84428,3.61989
8.11287,-0.61803,-0.01962
9.76095,0.03924,1.7461799
7.6910396,-0.07848,-0.058859996
10.40841,-4.0221,0.36297
4.5812697,0.46107,0.48068997
9.682469,7.1612997,-3.2373
12.63528,-3.21768,2.9331899
7.4556,-1.42245,0.20601
7.7989497,0.46107,-0.21582
16.65738,-7.8185697,-1.82466
7.11225,-1.0791,2.0502899
13.3219795,3.0999599,1.01043
8.3385,0.07848,1.01043
9.37836,-1.46169,0.70632
13.78305,-3.6002698,-2.31516
5.5426497,-1.3047299,1.28511
4.7382298,3.63951,0.59841
5.5818896,-1.2262499,2.5505998
8.3385,-0.34335,1.04967
10.143539,-1.2654899,1.7069399
11.09511,-1.60884,0.32373
3.6689398,0,-0.82404
12.32136,-0.23543999,1.6676999
6.8473797,0.26487,-0.44145
11.17359,-2.26611,1.28511
12.51756,-2.3053498,-1.7069399
7.9559097,-1.53036,1.32435
4.3164,3.79647,0.28449
5.16006,-1.1477699,1.5499799
6.26859,-0.76518,0.0981
11.752379,-1.2262499,0.32373
10.790999,-2.99205,0.66708
5.84676,-0.8829,-0.17658
5.50341,3.63951,-3.0116699
7.6517997,-1.1085299,0.01962
9.76095,-1.2654899,0.70632
14.322599,-2.3053498,-0.48068997
8.0343895,-2.03067,1.28511
3.6297,0.34335,-1.6676999
7.87743,-1.38321,-4.5812697
7.26921,-1.8835199,0.44145
9.6432295,-3.3353999,1.5892199
13.09635,-3.6002698,0.058859996
8.29926,-2.9528098,1.08891
6.3863096,-2.3053498,0.28449
6.9945297,-0.65726995,-4.69899
8.9957695,-2.68794,-0.36297
11.21283,-1.3047299,-0.82404
8.260019,-0.8829,2.58984
10.67328,-3.6787498,2.6290798
6.30783,-4.56165,7.0337696
4.23792,-1.5696,3.9239998
5.3856897,3.94362,8.3385
4.1201997,2.83509,9.48627
2.51136,1.7952299,7.75971
