x,y,z
4.69899,4.2869697,10.290689
0.98099995,1.9914299,8.76033
2.0600998,1.53036,8.98596
10.143539,-3.14901,0.058859996
10.44765,8.16192,-1.7069399
9.6432295,0.22563,-0.13734
10.02582,-2.06991,3.2373
9.6432295,-1.03986,-0.90252
8.49546,-4.7578497,3.85533
7.61256,1.3047299,0.7848
11.59542,-1.9521899,2.9331899
14.508989,2.4524999,0.90252
4.69899,-1.0791,2.58984
14.1264,0.14715,1.04967
5.04234,-0.03924,7.41636
7.8381896,1.45188,-9.52551
2.8645198,-3.1784399,-9.868859
8.15211,3.1784399,-8.721089
6.72966,-1.2262499,-8.44641
7.87743,2.10915,-4.15944
9.4176,2.99205,-2.9331899
4.39488,-0.84366,3.39426
8.91729,1.9914299,1.82466
9.72171,1.1477699,0.32373
12.51756,-2.33478,0.0981
8.15211,0.56898,0.86328
10.90872,4.17906,-4.62051
8.0343895,-2.49174,4.19868
10.48689,2.8743298,1.5892199
9.98658,2.10915,1.28511
17.11845,-4.06134,-1.4714999
5.34645,-0.65726995,0.28449
13.9694395,7.77933,-3.5806499
6.46479,-0.53955,4.34583
9.80019,2.71737,1.01043
10.290689,2.2955399,1.28511
11.51694,-2.72718,0.36297
5.5426497,1.1477699,-0.63764995
12.252689,-1.42245,0.51993
8.11287,0.18639,2.08953
8.76033,0.22563,1.01043
14.66595,2.2170599,4.2771597
7.5340796,0.76518,0.94175994
6.9651,1.34397,-0.17658
12.78243,7.62237,-4.15944
11.63466,-1.2654899,2.2072499
9.0252,0.99081,0.82404
14.469749,5.20911,1.4714999
5.5818896,2.83509,0.51993
15.548849,10.37898,-3.3550198
4.81671,-2.14839,3.54141
8.91729,2.03067,0.058859996
10.790999,4.6008897,1.97181
6.1901097,-1.50093,4.9246197
4.01229,-2.3053498,-1.28511
14.35203,-2.91357,-0.55917
5.7388496,0.6867,0.40221
10.790999,2.10915,-0.28449
18.8352,-4.37526,-2.16801
5.2385397,1.2654899,2.51136
7.8381896,-2.4524999,1.4322599
5.5426497,1.41264,2.89395
9.52551,2.2955399,0.74556
14.9308195,-0.46107,-0.55917
5.50341,1.1477699,1.7069399
15.81372,10.957769,-4.00248
9.52551,-1.80504,4.46355
8.87805,2.41326,0.74556
10.48689,5.4053097,2.08953
7.26921,-0.50031,4.50279
4.7774696,-2.03067,-1.4714999
15.470369,-1.2262499,-0.17658
9.37836,3.0214798,0.01962
8.76033,4.78728,1.89333
10.75176,-5.02272,-0.51993
5.66037,-1.64808,0.24524999
